City,Year,Population,Gender
Melbourne,2017,2380560,Male
Melbourne,2018,2428985,Male
Melbourne,2019,2474424,Male
Melbourne,2020,2500016,Male
Melbourne,2021,2460595,Male
Brisbane,2017,1193907,Male
Brisbane,2018,1215928,Male
Brisbane,2019,1240022,Male
Brisbane,2020,1261877,Male
Brisbane,2021,1272890,Male
Canberra,2017,206491,Male
Canberra,2018,212909,Male
Canberra,2019,218386,Male
Canberra,2020,222636,Male
Canberra,2021,223867,Male
Adelaide,2017,657875,Male
Adelaide,2018,665241,Male
Adelaide,2019,673999,Male
Adelaide,2020,683206,Male
Adelaide,2021,686483,Male
Darwin,2017,78534,Male
Darwin,2018,78212,Male
Darwin,2019,77529,Male
Darwin,2020,77086,Male
Darwin,2021,76837,Male
Hobart,2017,114958,Male
Hobart,2018,117574,Male
Hobart,2019,120095,Male
Hobart,2020,122063,Male
Hobart,2021,122820,Male
Perth,2017,1021124,Male
Perth,2018,1035359,Male
Perth,2019,1054303,Male
Perth,2020,1077541,Male
Perth,2021,1090803,Male
Sydney,2017,2541496,Male
Sydney,2018,2577332,Male
Sydney,2019,2610428,Male
Sydney,2020,2627297,Male
Sydney,2021,2614408,Male
Melbourne,2017,2437540,Female
Melbourne,2018,2484153,Female
Melbourne,2019,2527493,Female
Melbourne,2020,2554823,Female
Melbourne,2021,2515562,Female
Brisbane,2017,1216594,Female
Brisbane,2018,1241007,Female
Brisbane,2019,1266125,Female
Brisbane,2020,1288371,Female
Brisbane,2021,1296037,Female
Canberra,2017,210333,Female
Canberra,2018,217231,Female
Canberra,2019,222891,Female
Canberra,2020,227996,Female
Canberra,2021,229691,Female
Adelaide,2017,681134,Female
Adelaide,2018,689899,Female
Adelaide,2019,700514,Female
Adelaide,2020,712080,Female
Adelaide,2021,715910,Female
Darwin,2017,70611,Female
Darwin,2018,70862,Female
Darwin,2019,71017,Female
Darwin,2020,71719,Female
Darwin,2021,71964,Female
Hobart,2017,117025,Female
Hobart,2018,120638,Female
Hobart,2019,124403,Female
Hobart,2020,127448,Female
Hobart,2021,128227,Female
Perth,2017,1026756,Female
Perth,2018,1043178,Female
Perth,2019,1063194,Female
Perth,2020,1088388,Female
Perth,2021,1101426,Female
Sydney,2017,2575114,Female
Sydney,2018,2607223,Female
Sydney,2019,2638276,Female
Sydney,2020,2657582,Female
Sydney,2021,2645356,Female
